Quality Control,"In the supply chain today, products are being sourced from external vendors.These vendors vary from the highly sophisticated to the highly skilled but withlow access to technology. A few manufacturers have chosen to send theirrepresentatives to each facility to oversee the quality and accuracy of the operation.Others have chosen to instill a high degree of checks when the product is receivedinto their own facilities. Retailers also perform inspection to ensure accuracy andquality of the product they receive from the manufacturers.The Sterling Warehouse Management System Quality Control (QC) helps addressthe quality control procedures that may be achieved at the receiving warehouse.The Sterling Warehouse Management System also ensures quality and accuracy ofthe product shipped out."
Quality Profiling,"The Sterling Warehouse Management System Quality Control module allowsprofiles to be created for a specific vendor or item level. It also allows profiles at avendor or item classification level. For example, all items that are high-value orvendors who are classified as yellow (to indicate vendors who have failed QCbefore). These pre-created profiles in any combination of the mentioned criteriaeliminate manual intervention for normal operations.Inventory upon receipt is marked for diversion using profiles that are created. TheSterling Warehouse Management System directs putaway of product to QCautomatically based on the QC profile."
Quality Inspection,"The Sterling Warehouse Management System provides the ability for a warehouseto inspect products in inventory.The Sterling Warehouse Management System enables a warehouse to apply adisposition to the product. This results in inventory being classified into a specificinventory status, such as Awaiting Inspection, QC Hold, Good Inventory, Scrap.Inventory status may be applied to either at a location level or for a complete itemin a warehouse. Further, inventory status may be restricted to a specific lot andeven a specific serial number. Warehouse may define different reason codes andspecify reason code and additional inspection comments while changing theinventory status.Inventory status as described in inventory control has a direct relationship to theavailability of the product. Any inventory status is categorized as 'not available' or'available'.A quality problem if spotted during inspection process or regular pick and packprocess or during count may require additional inventory to be retrieved fromstorage. The Sterling Warehouse Management System allows for a retrieval requestto be placed at the location, item level, or at the receipt number, lot number levels.For example, safety recalls. Upon completion of ad hoc retrieval tasks, a putawayrequest can be placed for the putaway of SKUs in the QC location."
Inventory Visibility,"The Sterling Warehouse Management System allows inventory tracking at its mostgranular levels, which include SKU, location and inventory status. Thecombinations of these attributes are better illustrated through the following usecases and examples: View all inventory that have been placed on quality hold due to vendor packingerrorsCriteria used in location inventory console include enterprise, ship node andinventory status View all scrapped inventory in a warehouseCriteria used in location inventory console include enterprise, node, inventorystatus View all inventory that was put on hold for a receipt numberCriteria used in location inventory audit console include enterprise, ship node,receipt number and inventory status."
Task Management,"Task management enables you to manage all warehouse processes in order tooptimize node throughput and maximizing worker efficiency.Sterling Selling and Fulfillment Foundation enables you to define the type of task,schedule tasks, assign people to complete those tasks, and raise exceptions whenthey occur to alert appropriate personnel.A task in the warehouse requires definition as to the type of resources (forexample, worker or equipment) authorized to perform the task.The application generates tasks to be performed within the warehouse based oncertain events. For example, receiving triggers a putaway task, wave releasegenerates picking tasks and inventory in a location reaching below definedminimum triggers replenishment tasks.The application enables you to place resource constraints on a task in order tocontrol when and who carries out the task. The dynamic assignment of tasksenables supervisors to reprioritize orders, resulting in automatic reprioritization ofa worker's tasks. A process in a warehouse also has equipment constraints. Forexample, put away to a high-bay location requires the use of a man-up truck or apallet-up truck operated only by authorized users.A task is completed through a paper-based operation, a Radio Frequency (RF)mobile device, or material handling equipment. This enables task management toimprove throughput of the least automated warehouse through paper-basedoperations to the most automated warehouse through RF mobile device andintegration with material handling equipment. In the case of a paper-basedoperation, a batch is printed on request rather than printing up ahead. This enablesreprioritization of orders, cancellation and modification of orders to be reflectedimmediately.The application provides real-time visibility to task status. Task aggregation is alsoprovided for each process and its unique parameters. For example, task visibility ata wave or shipment level."
Task Type,"Each activity in the warehouse has unique characteristics and requires specificoperating procedures. For example, picking requires moving inventory from oneplace to another while counting does not require moving inventory. Each type ofactivity is assigned a task type. Typical task types include the following: Counting Batch picking Order picking Retrieving cases for replenishment Retrieving pallets to the VAS department Packing all picked items into a pallet or carton Preparing carts with empty shipping cartons for picking Putting away pallets from the receiving dockThe application enables you to control task generation and execution at a task typelevel. The controls include the following: Should the task be batched? Does the task go through a drop-off location? Which pick strategy is to be used? Will the task assignment be controlled by the system or will a worker requestthe task?"
Task Dependencies,"Task Management enables you to manage warehouse operations such as picking,packing, and receiving. These operations are accomplished by completing a seriesof tasks. A task is a unit of work that accomplishes a goal. For example, completingan inbound putaway task accomplishes the goal of moving product from thereceiving dock to a storage location. Tasks are composed of one or moreconsecutive steps.A step is the most granular unit of work as defined in Sterling Selling andFulfillment Foundation. For example, in order to move product from a receivingdock to a bulk storage location, an inbound putaway task can be composed of atwo-step process: First, a pallet jack operator moves the product from a receivingdock to a staging location. Next, a fork lift operator moves the product to the bulkstorage location.Task Management enables you to create dependencies between groups of tasks, sothat one group of tasks can be carried out only after completion of another groupof tasks. For example, a warehouse may want to complete all of the picking tasksassociated with a 10:00 a.m. shipment before beginning the picking tasks associatedwith a 4:00 p.m. shipment."
Task Assignment,"Each type of process in a warehouse typically requires workers who possess aspecific set of characteristics that correspond with the task to be performed. Forexample, computer kit assembly requires workers that understand how theelectronic components are assembled; and picking expensive inventory, such asjewelry, requires security clearances. Each worker is assigned to complete tasks thatmatch their own set of skills or authorization.Skill SetsEach worker may have skills that correspond with multiple task types. In addition,each worker's tasks are prioritized. For example, one worker must complete allputaway tasks before proceeding to replenishment, while another worker mustcomplete replenishment tasks before proceeding to counts.Zones and LocationsYou can define within which specific zones a worker is authorized to performtasksThese constraints control what tasks are displayed to a user and in what sequence.A user on a RF mobile device is expected to login to a console that automaticallydirects them to perform a specific task. The following figure illustrates the taskassignment process.You can define the maximum number of workers who can be assigned to performspecific types of task. For example, if a warehouse chooses order pick, only oneworker carries out the given order. Or for trailer loading, a warehouse allows amaximum of three people to load a trailer.The application automatically suggests the best possible match of task to worker,based on where the user is working and the type of equipment that the user has.The application optimizes task suggestion based on best sequence in which totraverse the location. Additionally, time constraints placed on a task are alsoadhered to.The application has the ability to assign specific tasks and equipment to specificoperators in a warehouse depending on their skill sets. For instance, the warehousesupervisor may assign putaway, picking, replenishment, and packing tasks to anoperator. The forklift or grab truck may be assigned to perform the tasks. Anotheroperator may be assigned to perform the final step of replenishment using onlygrab truck.The application controls when a task is available for assignment. This availability iscomputed from associated date and time constraints for start of the task. Forexample, a putaway request from the quality control department is scheduled tostart only during off-peak time. The task is suggested to all eligible users after thedate and time specified. The expected finish time for a task can also be specified.For example, a move request to top-off high moving dedicated locations in thewarehouse is expected to be completed during the lunch break while picking teamis on the lunch break, then the application suggests tasks that are closer to theirfinish time.You can define the number of users allowed to work simultaneously in an aisle oraisle-section. The application can suggest tasks from an aisle/location only if thenumber of users does not violate the maximum users allowed.You can also permit only one user to work in a location at a time. The applicationcannot suggest tasks from a location, if another user is working in the samelocation.Also, while depositing, the application can consider above settings and prefer aleast congested aisle to suggest deposit tasks."
Task Execution,"Regardless of the use of technology employed in your warehouse, a task can becompleted by using any of the following techniques:Batch sheets Handheld RF mobile devices Material handling equipmentsAs tasks are completed, their status is tracked and may be audited. Task statusesincluding the following: Open Suggested In Progress Held Complete CancelledWhen assigning tasks to the users, the application suggests tasks to the users basedon the skills set and constraints assigned to the users. For example, after a userpicks up the first task of a truck load shipment, he is restricted to executing alltasks for that particular shipment before continuing to the next shipment in thetruck load.The Sterling Warehouse Management System also allows the user to choose thetype of task to perform using the Mobile Application. When performing tasks, theSterling Warehouse Management System allows the user to: Select the specific type of task to perform or the system suggests the next task tobe performed by the user. Pick less than the task quantity when inventory is not available at the locationfor the task performed. Deposit quantity less than the system suggested quantity when the space in thelocation cannot be utilized for the task performed.After the user completes all the tasks, the system suggests the next task to the user,when available. During task execution, the system audits exceptions and overrides,if any.Task execution is better explained utilizing a process as a reference. Therefore,further constraints are better explained under each department. For example,putaway execution is detailed under inventory control section and receiving isdetailed under the inbound execution section."
Task Management Visibility,"The application provides granular visibility to the task. Tasks are viewed by tasktype and status. The following examples or use cases explain the combinations ofattributes:View all pick tasks due to start in the next hourCriteria used includes warehouse, task type, start task after date and time View all pick tasks associated with a particular SKUCriteria used includes warehouse, task type, item and status View all pick tasks that are on holdCriteria used includes warehouse, task type, reason code and status View all replenishment tasks associated with a waveCriteria used includes warehouse, task type and wave number View all replenishment tasks associated with a location or zoneCriteria used includes warehouse, task type, target location, target zone andstatus"
